x,y,ids,split
0.0,0.0,0_0,0
7.856742013183862,1365.3949329612037,0_0,0
15.713484026367723,3350.777825131708,0_0,0
23.570226039551585,4585.0135318235325,0_0,0
31.426968052735447,5701.163355244803,0_0,0
39.28371006591931,6470.656765604469,0_0,0
47.14045207910317,7139.36708740532,0_0,0
54.99719409228703,7828.844201617042,0_0,0
62.85393610547089,8441.60971468654,0_0,0
70.71067811865476,9047.512344679635,0_0,0
0.0,0.0,0_1,0
7.856742013183862,693.3229391637178,0_1,0
15.713484026367723,2026.5654391374921,0_1,0
23.570226039551585,2987.690248227508,0_1,0
31.426968052735447,4081.82324242545,0_1,0
39.28371006591931,4942.4589276730785,0_1,0
47.14045207910317,5783.863581524226,0_1,0
54.99719409228703,6548.462970654216,0_1,0
62.85393610547089,7297.678914651053,0_1,0
70.71067811865476,7949.458087903672,0_1,0
0.0,0.0,0_2,0
7.856742013183862,620.2445199852358,0_2,0
15.713484026367723,1841.260862280953,0_2,0
23.570226039551585,3121.080120562163,0_2,0
31.426968052735447,4407.149253260477,0_2,0
39.28371006591931,5399.9856753091135,0_2,0
47.14045207910317,6275.267259652964,0_2,0
54.99719409228703,7097.391437514822,0_2,0
62.85393610547089,7941.196432138588,0_2,0
70.71067811865476,8753.338813497441,0_2,0
0.0,0.0,0_3,0
7.856742013183862,525.875606635705,0_3,0
15.713484026367723,1619.813713763534,0_3,0
23.570226039551585,2597.108700235547,0_3,0
31.426968052735447,3766.3974921338654,0_3,0
39.28371006591931,4680.54038873122,0_3,0
47.14045207910317,5546.244908892137,0_3,0
54.99719409228703,6404.567848255011,0_3,0
62.85393610547089,7259.011379959448,0_3,0
70.71067811865476,8133.081570714086,0_3,0
0.0,0.0,0_4,0
7.856742013183862,626.9219670615129,0_4,0
15.713484026367723,1792.439049621325,0_4,0
23.570226039551585,3025.796924656526,0_4,0
31.426968052735447,4487.361955899468,0_4,0
39.28371006591931,5505.563859706413,0_4,0
47.14045207910317,6340.931995986697,0_4,0
54.99719409228703,7093.329476690768,0_4,0
62.85393610547089,7885.5866386120215,0_4,0
70.71067811865476,8635.037008955962,0_4,0
0.0,0.0,0_5,0
7.856742013183862,635.9653476406677,0_5,0
15.713484026367723,1575.6448590182304,0_5,0
23.570226039551585,2681.1570208885187,0_5,0
31.426968052735447,3659.9875021648704,0_5,0
39.28371006591931,4512.36249698334,0_5,0
