Window,Error,Variance
1,899.5797498360917,1.2080922784161419
2,4.468701425846862,177.75318128141924
3,2.520764164153991,125.6827877927793
4,2.897802709057779,128.63678420902656
5,1.5227983356011747,134.70915827798513
6,1.9937171896592845,135.6024903753212
7,2.3960842005764484,157.20748470134754
8,2.4231164901279354,183.2304969965465
9,0.6620313472392257,149.6651949505943
10,0.6175081960317726,169.92218816929056
11,0.312127972485652,166.5937360040216
12,1.8770446215717758,148.79530461917807
13,2.4087256510062094,142.63968326183664
14,3.420250564769384,97.82266526257655
15,2.9822892305091724,115.54993662374616
16,4.136764961523059,91.49560306208242
17,3.175134705094468,93.5479250266882
18,3.601550389555442,99.20736945799158
19,4.965826273924571,121.26564074384146
20,6.76442461229283,119.43787098558039
21,5.382316793763927,111.61104233968977
22,5.774079811851411,117.83157144433517
23,7.014824134066414,114.07474038467251
24,6.26928408610845,124.65794110571511
25,7.0274297611672845,112.73345118532464
26,4.669890156100835,92.31986748006221
27,5.12467317157608,68.70541752436405
28,6.030423645957388,59.64165677466792
29,469.5590154038818,43.05016212955066
30,9.889852321438848,771.3096833590631
31,10.9358025460838,780.2136602213329
32,15.417891410195244,389.6612954932851
33,10.656525620259707,303.83267038042806
34,10.314558575015736,189.85796900148048
35,9.784134215070447,185.16501153908
36,9.544444179912423,179.316988317621
37,8.596762204670695,102.8537524899638
38,9.085334253336987,109.1531360165801
39,8.858273798559791,106.6191317394873
40,10.6240857233552,87.84277867127477
41,10.819197067560346,84.6346517750901
42,11.199484455747436,108.00061451655539
43,12.188259146886448,119.41455260675612
44,12.566934487072286,116.44039524192458
45,13.656955756666415,133.20032944825678
46,15.274514298904714,148.34645115850006
47,18.332799516858053,158.15174411460583
48,19.000458106783405,175.13914301818747
49,18.216069747092046,174.93969212306752
50,18.9423915935457,171.54504902917716
51,19.062680169096176,175.91993290691985
52,20.42280465112017,153.8094140356053
53,21.73605463830885,161.54919292751217
54,20.789175418159463,165.07833314135098
55,20.946568712748764,167.0148828161363
56,21.70856261393107,173.38777481596088
57,20.22530877842557,159.7600547354869
58,16.870917627629193,179.90946089838909
59,17.182425636976454,207.22468576177275
60,17.99830504487436,234.69492849983428
61,18.807093169911806,248.92207236995426
62,18.84905709008935,270.4640743031697
63,16.910117484304816,295.1697443443188
64,19.138882298535673,291.18187253682515
65,18.429603865822397,293.4535350908874
66,18.85399359564099,296.17634003890146
67,20.252555937721407,330.4742922555348
68,19.721708445722847,350.8222287669551
69,20.978210581671817,368.4253410612857
70,21.162966333606736,389.7948129170138
71,22.63097759760458,367.43474748395846
72,24.178921792646634,360.7056160893
73,25.094327082887183,375.0977167064092
74,25.782923346556863,428.8597974958891
75,25.46379700510133,453.2258023465363
76,25.742734433710503,483.1915203888221
77,27.704599681140515,482.97184506253063
78,26.76075707097131,510.9869047424201
79,26.008863610739482,478.8619985275082
80,25.84463887588593,486.2584092502764
81,26.13021185289942,498.94503830719975
82,25.726885102135956,513.3782715275529
83,24.818426317118586,429.8007262526526
84,25.34245949198895,436.17783009066136
85,28.160715743727625,379.6194213003259
86,31.11212869786692,338.92035674362467
87,34.89047365466925,287.422368740843
88,34.42275672481237,296.44922775278025
89,34.10760731875701,222.71924009265865
90,33.9842304033396,235.7030473216746
91,34.781327420995495,214.83035799194337
