Window,Error,Variance
153,64.37601813537059,659.2450575720212
154,65.22263556981414,620.2114082972304
155,66.20794182001687,577.7540556032106
156,67.35041412606262,559.8808132680753
157,67.68280775373502,549.0107831194192
158,68.58191138442156,547.9181986897801
159,69.96610534148313,542.7835461388929
160,71.15775302308205,531.2767309511485
161,72.05785163487973,496.6045484661653
162,73.31697259368475,487.29709416228593
163,74.50561655694246,478.578398707983
164,75.7559178364734,462.52286255316676
165,76.93804968377358,463.31373030724257
166,78.01349293637487,446.4013057893784
167,79.55474634844771,427.05845948195366
168,81.02786328135304,409.9674465522697
169,81.91751568204798,410.4295452829422
170,82.59612944216879,413.1879435795564
171,83.22114374253542,404.3108247617086
172,84.32332741786347,403.2498162000618
173,85.3582276991452,393.75605791564163
174,86.01454094588735,364.72299900806473
175,86.98415304755711,355.4923253753615
176,88.21325450952932,353.4693170172603
177,714.5834484889881,301.73432845359974
178,713.755634886064,303.36779128569486
179,91.52191246446735,753.0999226981787
180,92.05579823173274,735.7372824876376
181,93.41476097795835,703.3643250600891
182,93.99222746448558,680.6393604468051
183,94.65971972839924,658.0255404142405
184,96.1183747705883,633.4817109376955
185,97.45104873308878,611.6015527350935
186,98.00854293276187,597.0480070661537
187,98.82421403653316,565.4591906007734
188,99.80463109834412,551.9543480975286
189,101.06452245954021,537.4759548895888
190,102.3311355477086,529.1447066645803
191,103.66426708525898,495.3003142714585
192,104.70385644403407,463.76823003125463
193,105.76937859828756,456.21296139116265
194,107.14651564953277,457.36815505728543
195,108.3423786638838,450.1932038631688
196,109.67775519968959,442.6312542695796
197,110.21016242296048,440.43549822565944
198,111.23871184583133,439.04834243260274
199,112.32422320111277,439.86202658154946
200,113.59745805317196,436.99080218334456
201,115.20894483929146,430.67469379796
202,703.4476962131072,381.51253809589986
203,702.9956827642868,384.4137884888282
204,290.31868976967843,706.4294803748287
205,290.0303054863502,695.6758368113914
206,122.25297614126058,914.7693862235236
207,123.91673698837683,875.3734608376272
208,125.24121213064038,857.3887147339492
209,126.18308494123934,828.699467052796
210,127.3745067105541,812.9472107939483
211,128.7774921426831,784.1133131892377
212,130.1523560870565,765.4239076420071
213,131.24790371874877,748.0954933975306
214,132.0097564667206,723.1070742625835
215,133.39355699839157,696.4212112977576
216,135.08245406612818,695.7779683087075
217,710.0268566413341,630.2779526526322
218,709.5697224029377,619.0595179507995
219,139.89415220863955,896.4400249261408
220,141.74646375470766,850.6197564726356
221,143.0347387900117,847.802175919395
222,144.93782402379296,812.363007148401
223,146.10117982976604,796.3078752173858
224,147.28033257525115,772.1216971683637
225,754.5846307857853,706.0945114141844
226,752.5843293657105,705.7846047391658
227,152.1751266068697,751.3649013453588
228,153.9651853249754,740.0998664024069
229,155.60510204121795,740.7829726205424
230,157.29062442966352,714.5355584499271
231,158.91557955036382,683.0005545416949
232,161.11095260577991,683.391172382602
233,162.70203718006715,675.6605942207506
234,164.35025386055943,670.9173417856294
235,166.31570218983416,671.6945782916728
236,167.88930991198418,634.6268821947994
237,168.8730951497357,605.7045395222967
238,171.0198096967611,604.2057347937017
239,172.5733970955508,585.9689837062839
240,728.3961298797439,543.7625390465562
241,727.3266506420754,541.1405809613267
242,179.61104165786364,749.5371487267766
243,181.65677906249022,719.204577435205
244,183.20122245951904,686.515258657205
245,185.2953001996761,681.2899612778322
246,187.57422900670383,682.2997805300392
247,189.29007428893962,662.6079153291873
248,191.34197697526398,662.0289657997015
249,193.27109059025045,656.5025867591695
250,195.23911341998019,622.9456569909858
251,196.74097939629476,599.1463871596344
252,199.09952896288328,593.1821527814697
253,200.5722669946703,577.9165425463958
254,202.2022987746822,560.695723257
255,204.18739808937062,560.5736179698422
256,206.09800397147976,560.0531132689896
257,207.74890044459494,552.7617882968514
258,209.60940551054634,535.598821033354
259,211.11203063710911,521.6048825663047
260,213.5668790766909,521.7871624364733
261,215.45459664812378,522.3010010447697
262,217.12602954757088,511.0259220846953
263,219.2869728025074,512.2336534894482
264,220.99267094362366,498.76261858021024
265,222.87542503127847,498.48544733278504
266,224.6397286449156,482.99561702127977
267,226.18356552796558,465.2628854817261
268,227.77402581398215,465.34835461813356
269,229.79778563179332,466.94737778658975
270,231.99696339606047,450.4186009036421
271,234.50976678063475,452.3706811842526
272,236.9360982213068,452.7725692273415
273,896.9058681021899,435.4173730361015
274,895.7909285204737,435.8930197457898
275,242.98095895148603,499.29991662140475
276,245.34505163782063,487.72727317877633
277,247.38626140492764,481.0487207908323
278,250.0374169244167,469.2181543903111
279,251.99283490350348,455.90377714608513
280,254.71905975789582,454.4006371456198
281,256.52511938636366,445.4586227667732
282,258.8433897624676,447.28388841474276
283,261.704449310772,442.46583230953706
284,264.0546479642348,443.30350753159206
285,266.58227220880644,436.5475862749787
286,535.814362354479,422.2922184752733
287,709.3902124957091,409.81680058595396
288,538.6902280009065,510.2956991219774
289,276.256244115403,593.2716700114944
290,279.07528599089983,593.6177420979606
291,402.7999428600123,562.5493496746515
292,404.3666317769256,557.6467612451968
293,287.10863077446,737.6050180657394
294,289.5708588626659,728.387250780704
295,291.6502794426927,725.9746130703494
296,293.9907248890975,726.5165360607601
297,296.6462151064599,718.8212530869267
298,298.9826369023533,705.5113548076054
299,768.5318296098776,671.2211611896175
300,767.9684658815215,671.3656129757107
301,307.2893859153545,790.7608449064222
302,310.4804449582586,753.5820720023193
303,313.39886708089034,744.6301803402611
304,316.0277037019833,740.1896073816634
305,319.68484726313807,727.2047727926345
306,321.87306674339317,726.5583147773
307,426.7892362152567,684.8085196837523
308,429.3882515973927,685.4220869346794
309,329.12123289982117,828.4565172009673
310,332.53495550565026,818.2247361172756
311,431.4007238937466,780.0116635147014
312,433.90137840218097,780.9149912853017
313,341.2525317592462,848.4850079286173
314,343.960119899946,849.5693622266483
315,347.14675253333763,839.6838498816147
316,349.5093831302193,839.1426149657691
317,794.9333554979781,805.7103227719418
318,795.449357922138,794.5221707946795
319,593.7967646375462,875.8869784994213
320,596.7933192165663,873.7581368056036
321,365.4228319999882,931.6874850153592
322,471.75817022803005,889.2646289902648
323,474.5887517578742,889.3491276128259
324,374.1839340837568,956.087877607172
325,377.51647584960216,950.605062337199
326,380.6310124177563,940.5489291763195
327,609.6144134639379,901.8111673617839
328,612.1213238371112,893.0248089000256
329,390.1047429797116,942.7393142640742
330,394.7372862732464,934.1833580722441
331,398.1799828636024,927.1692785009823
332,679.5718493162575,838.2173881222831
333,665.5339488011111,1109.148341123205
334,408.8427560950321,959.0959858811975
335,412.4989237297405,955.0098400120308
336,415.97037347862175,935.7167813548267
337,783.1056067353236,904.8977415548619
338,757.2565179753071,1366.9003045287436
339,427.8208148265117,953.7318937621825
340,432.30054900408925,937.2131668087495
341,907.1400547935024,911.6356535573124
342,919.9064518733012,1388.4298090348932
343,523.5194607226707,917.0264643338805
344,448.88080059608683,974.2597772524595
345,453.5924002189106,968.0597886974545
346,457.3406671455301,959.0431464684021
347,462.10458223551404,958.8926686211829
348,466.4613391188423,949.4243619884137
349,470.0475329722695,946.7179144334771
350,473.862144104647,935.7707447531658
351,547.8396163099766,899.3099913979387
352,951.8669824789388,869.3438348496505
353,872.3207225944727,1569.8639601170596
354,687.3705939958113,954.7710184030454
355,1036.315620166521,967.2159064511286
356,1192.7335308201077,1240.1724685116042
357,1345.4525993923592,1172.7895892338802
358,1037.7938175208392,2089.3583630847675
359,520.4908925491006,1009.7321564035354
360,526.6176627998325,1008.5929232548299
361,532.8280976526639,1002.6458001156699
362,538.6882182433247,996.7712143417835
363,614.6743558547478,967.1136085611599
364,611.7643607761748,1020.6950481619361
365,556.559900719879,1019.9992140083235
366,563.0580136444262,1006.3065430342101
367,917.741212415719,985.9678319221465
368,859.6147637729081,1710.0384312100762
369,645.2040011912347,1014.5480660361926
370,1094.5356822497054,1020.6995052330335
371,924.050987599002,2694.543131612827
372,603.5973887810578,1057.4648569757348
373,610.8062650258003,1058.9897074532532
374,617.4549921436574,1056.5232360590737
375,624.6329587296076,1047.7044192790306
376,631.967177579881,1040.7170972700824
377,640.1309853465667,1040.825623486379
378,646.4282220082924,1035.4687890242758
379,654.0359801553141,1034.419688987109
380,661.7370538088932,1029.6606336038583
