Window,Error,Variance
1,899.6785193669082,1.0086159804938486
2,898.9927537534985,1.8998555137053872
3,1.7604079743864702,612.916542703633
4,2.247639869371139,409.4994222432816
5,0.8012484960919568,291.90855550169294
6,0.8526365563596241,240.40560693285937
7,1.8751075331166818,201.81025728002942
8,2.281971296650732,159.76188049354715
9,2.4120450756689533,155.8389452558308
10,2.250730924329843,146.1920627605506
11,2.504263753804145,130.9288321292841
12,3.384717242543269,120.86807217420598
13,3.588775255503549,114.86192575252048
14,4.011989598061715,111.8782458812969
15,4.403210364264967,108.43146149167255
16,4.406198336221258,106.42328170799753
17,4.2584032816306205,98.71600231947461
18,4.247142967747124,97.77778890914936
19,4.535600469357447,100.29922900958029
20,4.580222812912246,92.84888069304395
21,4.968722094766685,91.25917350996913
22,5.332370127399426,84.94368469471053
23,5.473996530853622,80.62851904405105
24,5.985786015347998,80.76215034451502
25,5.891715890434002,72.68299125525544
26,6.039639014521584,74.70599661318298
27,6.528923852962113,75.27037131498845
28,6.854766309164389,76.78293344737853
29,468.29097726273807,53.787851831976965
30,468.7877931063673,54.5903979766758
31,8.294664598353478,685.1853581468811
32,8.599704814197313,676.2675248092492
33,8.976528193799284,629.6864388502767
34,9.33038873024025,571.4078566269538
35,9.599899925620544,502.12672138148656
36,9.458451307927763,448.6346328316615
37,9.687766253614576,421.06725654487343
38,10.246114352017006,410.57782904408003
39,10.514188471117508,386.34928831063115
40,11.316044587121535,368.6344397634009
41,11.917244098096042,345.7444028509179
42,12.38248674159794,341.2825975155216
43,12.712797459483234,329.9358764288923
44,13.310860956133643,283.4218624857458
45,13.792719860612095,281.76283856373294
46,14.441923461075618,271.4221362948875
47,14.866086780351564,265.5153332432175
48,15.51949191143972,266.66499091808726
49,16.128479431213464,266.2617638023839
50,16.553078548302757,242.84227442787218
51,17.179567664638157,240.07219939061676
52,17.434728447259552,223.00390550463482
53,17.953144103075992,214.03616486315659
54,18.012294442337513,214.47742364133347
55,18.128348564381465,216.53351453929383
56,18.38208581861159,215.73550173746287
57,18.76035952868859,215.12517038386488
58,18.800078051842373,206.5782400640332
59,18.730099410098223,200.8740600181172
60,18.764533468296776,194.88487046051384
61,19.28223252324655,190.3557128964922
62,19.22024660401224,171.2788094003095
63,18.966115470434243,175.08280358958854
64,18.6957669093842,175.1363733667325
65,18.6666428562382,175.75756857261558
66,18.27482560973864,171.49748036321617
67,18.771323205111113,167.88843745805215
68,18.61525631893191,159.63481581996297
69,18.661530050369212,157.68104919039033
70,18.785553654300266,158.12418054920798
71,19.186304583889466,154.8948821924857
72,19.62495893564952,152.34815144920347
73,19.925607999704045,142.82813352125478
74,20.20447883010331,143.2300869316085
75,20.730009290905226,136.5880883323972
76,20.8761007524125,126.79276945029946
77,21.186745253310548,109.79286309799919
78,21.332352983827537,103.10928390642229
79,21.27819363204188,100.83374289370023
80,21.615876560278593,92.88119482779874
81,21.62234730697132,86.52057642851977
82,21.961714503474326,81.08986269892353
83,22.354565122010907,76.1438792198496
84,22.395113892120982,75.65748028640168
85,22.85467041715826,76.05822817873633
86,23.13416672113295,75.2246420554616
87,23.625959459802875,67.2828104953577
88,24.17922767423823,67.06946396892421
89,24.487978492005173,62.541028353117895
90,24.885130116849282,61.11960311812361
91,25.320256976969915,61.23157199854916
92,25.680060275558724,60.42774934239
93,26.09720028351931,61.24161427428701
94,26.34440653660741,61.30497249526438
95,26.971337605871735,55.701116240657285
96,27.60655609045491,53.20107697295135
97,27.845307257032125,53.54906585619052
98,28.385547821091222,53.70826761517807
99,28.739996736252746,51.680554050699385
100,29.364943234050564,49.728056253766226
101,29.99374853682711,50.95351342830529
102,30.445833476425406,48.34111461034708
103,30.996115840323704,49.326434649881456
104,31.96059853858831,50.95933983741766
105,32.4358937078608,53.349069736316146
106,33.14677783509756,54.48571328929162
107,33.645154167911166,55.033000567100984
108,34.126302285805785,53.66498049280336
109,34.350881688898184,51.34796679289063
110,35.022711153968714,53.34507001772339
111,35.662945208211994,55.289078309643294
112,35.9196026104273,57.02038849225631
113,36.69761824240762,57.476699441533654
114,37.271765634709304,59.224983363438504
115,37.83649890124949,60.646292543704675
116,38.15656213106895,61.82809949202283
117,38.78089845768571,62.68063742666447
118,39.27564160191791,64.75390410766937
119,39.41469541419071,65.74663128752036
120,281.05305287212377,65.56368667500927
121,281.46747635298806,65.73527361390146
122,41.364358715555035,714.007742410799
123,42.314802019334884,668.5335068852835
124,43.20900554486048,588.2086637981427
125,43.97192281526948,535.3814639085359
126,44.5695053537888,496.54726109140387
127,45.23055706404136,472.59016880366926
128,46.051186458459966,437.32011183987635
129,46.719995154099585,427.7477738393409
130,47.67361534392023,415.2484122295234
131,48.511103852018344,393.7717803900846
132,49.24798799692715,368.42183225517107
133,50.438886169248384,351.18355866410997
134,50.95390944535333,326.24386775713725
135,51.54490271184069,306.7255163430045
136,51.9610158985038,286.60293732359986
137,52.98598996970461,280.7668671350876
138,53.64934030403916,268.2096209640236
139,54.42287284551871,272.40743865174085
140,55.11543890035325,281.52848617296706
141,55.795808777939584,285.0277353080642
142,56.21750532277159,288.4065435558502
143,56.95253082200425,283.1400046618669
144,57.402163531222904,282.28329668624957
145,58.44658933095447,278.4021551785708
146,59.00508762246098,277.30392246870684
147,284.34664072518717,231.45264979495016
148,284.56109359594666,231.23176351043816
149,61.882543779352616,816.9189800672293
150,62.466126961242814,810.778296503595
151,62.86357273364546,788.8056678226753
152,64.0536300572074,758.5829487405776
153,65.11831304669731,726.451885477119
154,65.78063993694073,677.7924385494321
155,66.6732789263145,677.510247738202
156,67.81394235546587,664.7822374425791
157,68.81865771621374,600.2292642088294
158,69.60418168832611,601.7397525761108
159,70.8023245601914,578.4835846441274
160,72.09504215471122,543.2804025627488
161,72.86625938005788,544.7093182534431
162,73.68355440115737,537.1587355111894
163,73.74922782888643,528.8603838461149
164,74.59867211111137,525.5179989023674
165,74.29081256005193,498.9530856928856
166,75.22265946053284,496.92853766552787
