PF params: {'number_of_particles': 100, 'resample_window': 100, 'agents_to_visualise': 2, 'particle_std': 1.0, 'model_std': 1.0, 'do_save': True, 'plot_save': False, 'do_ani': False}
Model params: {'width': 200, 'height': 100, 'pop_total': 700, 'entrances': 3, 'entrance_space': 2, 'entrance_speed': 0.1, 'exits': 2, 'exit_space': 1, 'speed_min': 0.1, 'speed_desire_mean': 1, 'speed_desire_std': 1, 'separation': 2, 'batch_iterations': 4000, 'do_save': False, 'do_ani': False}
Max_Mean_errors,Average_mean_errors,Max_variances,Average_variances
1465.739292740006,457.3280616031347,610.9373861935351,415.9216412347935
1192.8823404935995,395.1711582304443,544.1026016303877,376.00866744754927
1141.1171834254317,392.4699927241327,570.8576302186356,404.3173116388439
1233.686083896469,414.64505076777994,591.1881501243921,417.13032513503265
1223.2141024333891,405.1328280930724,556.9536139644322,391.5063211382608
1135.7889550461805,363.58006657677237,537.0353337512648,393.6213541693015
1171.3423627881602,408.0623060910933,527.3591364655992,383.68529983704644
1213.6872627105283,403.40931213475614,518.4586040284967,347.26767722636026
1248.5689965367433,405.19073019132856,554.7468381854675,391.14852696551367
1140.033977948402,374.5986124595462,549.7145203223515,380.7588761969845
1208.8036122695353,392.15926855292435,534.3625275385356,367.43023040548366
1150.9835270691149,396.42143007185814,572.1581065241865,408.2433852763986
1242.5348823693362,386.08700883818966,544.9457772511314,399.3761570212072
1267.0515185101747,420.3745523615557,531.5438348682695,367.20557361884585
1309.6832897526517,424.0539893490838,544.6585984350329,370.83513846435056
1424.199130143091,499.07275168070316,727.0773793098244,445.9190154377198
1301.6258785565808,439.836235309677,593.3889528485404,438.41363575974674
1270.3751951946736,404.83523982369906,526.6976868520705,362.50674630557035
1202.9266788090777,399.2493965149094,563.06537605583,388.72334393664534
1200.0827374672365,402.1750392831302,541.9389527244383,378.8956515090368
1386.7570659203723,493.47332752641796,703.0016137732766,446.3582976206703
1306.8395788017656,419.79142009871913,553.726910298739,411.8671813558571
1130.0173725510085,415.33684930320504,578.4468797484818,425.467898852162
1224.8297751752064,418.93257782583703,547.0480319570416,386.5914972108158
1342.1308223662322,446.33762867748686,623.1593164739535,427.52754246204216
1298.3886172907476,434.7122665992575,610.5630722541728,397.1487287022368
1252.1021171563516,412.43279430974064,515.8377786081951,351.4747839128928
1219.5521842673265,404.13023921467584,522.6692395362777,357.1851951604545
1163.5614649635666,370.05112973240193,531.9515476003792,370.2910161375266
1425.1794560965338,451.72476607736314,578.9813945331618,407.79393320319616
