PF params: {'number_of_particles': 10, 'resample_window': 100, 'agents_to_visualise': 2, 'particle_std': 1.0, 'model_std': 1.0, 'do_save': True, 'plot_save': False, 'do_ani': False}
Model params: {'width': 200, 'height': 100, 'pop_total': 700, 'entrances': 3, 'entrance_space': 2, 'entrance_speed': 0.1, 'exits': 2, 'exit_space': 1, 'speed_min': 0.1, 'speed_desire_mean': 1, 'speed_desire_std': 1, 'separation': 2, 'batch_iterations': 4000, 'do_save': False, 'do_ani': False}
Max_Mean_errors,Average_mean_errors,Max_variances,Average_variances
1467.5363345173887,540.738993629673,350.6437143127466,180.80963641691562
1155.4590302565118,425.40242797026696,462.1887025203302,337.8381802557844
1224.7522153115838,418.61200210904485,500.65575490039174,340.4915883143231
1436.8623928837533,511.09913047898107,509.35622402075273,345.04666168028297
1210.8747904253528,432.10845511895906,510.8429299298256,349.50240887935377
1236.3815598742121,447.04679579066277,483.46395046674417,336.5731092886506
1261.2729880598024,437.9508466684549,480.34035082216565,329.184185889434
1260.1626247857175,434.27557541517126,500.5104831322454,340.5221800316544
1155.0213570545195,416.7966488858673,471.3720838995144,333.20499642908453
1498.1618225665102,466.75209677922334,485.5429861845659,340.8998626029116
1180.4934565997223,443.75329496790937,484.4236578711776,332.830402228793
1334.5931509406741,457.74853441140664,552.1090161158925,352.3892557195665
1235.2108055607844,417.18351023625723,483.6379288792851,330.2141200006665
1329.2125414321197,454.1649188171035,542.8386778823618,343.3736215173129
1278.346700766913,454.98770553134653,510.08860391735806,352.8094938038541
1281.0557986293159,451.1536604659254,466.41308409200485,322.52115493511644
1202.9009951998664,430.25485743475923,484.3875929117714,325.57257378407434
1259.5785846086694,451.4692560253745,501.78932976558775,325.07146809336865
1235.7617940244927,417.0738952256817,463.38182358335035,315.3709948087882
1162.4630309129009,419.36161679527197,501.8425056516495,336.1340245113692
1358.8794125204695,492.9698451534036,611.7562115177716,378.98754724106215
1153.0167458277374,415.21108887218617,491.3894958314289,328.12858090127884
1314.321623897333,458.50111525095974,487.17236793649033,335.07367752994577
1208.5343691502364,411.1762993069769,473.7755611042764,324.5409617704238
1299.7723538944426,424.0593453728509,488.4229746516956,327.7424234138636
1354.7710788290424,469.5498298868581,528.773956344339,352.70397916276494
1160.6464616939297,439.2324631639065,501.7298695616782,364.58187222949755
1177.2121940623251,412.90847947616714,495.8471191001471,330.3342710430461
1352.5301536856068,455.6726910893918,504.57673939245257,357.4866958962767
1244.2763013692975,415.0477841818472,479.1748305453341,341.6781319189917
1317.2486413252832,439.52865913338024,500.5264842990523,348.37847406401966
1154.4073243750256,419.8402315126419,565.3719372229488,343.21442757592854
1277.1179244087223,469.2491907009791,492.2864067461575,345.35522932739735
1332.9400700216354,459.2544245874338,539.1152249212912,347.54838756937687
1210.7735278113923,450.381120224274,533.2327069266313,385.35257629239925
1279.3356922187752,478.7966055245729,581.8162349698293,380.6717081015551
1273.9736562189069,449.4314816027267,488.4383744785752,329.37835522509846
1219.0158123280794,446.27199958443333,487.9798636536674,335.52767235428274
1417.4474439587927,531.8613454166195,728.9635931954638,371.97379334876985
1153.5119399709386,386.69872978566156,518.2312348295754,343.5168527978659
