#  2020-08-21 12:51:14.669543
# 
#  PF params: {'agents_to_visualise': 200, 'number_of_runs': 1, 'multi_step': False, 'particle_std': 1.0, 'model_std': 1.0, 'do_save': True, 'plot_save': False, 'do_ani': True, 'show_ani': False, 'do_external_data': True, 'resample_window': 100, 'number_of_particles': 100, 'do_resample': True, 'external_info': ['gcs_final_real_data/', True, True]}
# 
#  Model params: {'pop_total': 274, 'batch_iterations': 3000, 'step_limit': 3000, 'birth_rate': 1.6666666666666667, 'do_history': False, 'do_print': True, 'station': 'Grand_Central'}
# 
#  Min_Mean_errors Max_Mean_errors Average_mean_errors Min_Absolute_errors Max_Absolute_errors Average_Absolute_errors Min_variances Max_variances Average_variances Before_resample?
62.52283418498961 3798.0789419105786 2706.02083815077 62.52283418498961 3810.490758564052 2722.780159082105 1979.9122973491894 14117.086493177589 9581.221717972978 0
62.52283418498961, 3798.0789419105786, 2706.02083815077, 62.52283418498961, 3810.490758564052, 2722.780159082105, 1979.9122973491894, 14117.086493177589, 9581.221717972978, 0
213.0555644412557 4087.335312836034 3072.399213532545 219.30904148203047 4087.9922979762214 3074.7146723879855 6147.279125432984 16569.850604890733 12702.006411034143 1
213.0555644412557, 4087.335312836034, 3072.399213532545, 219.30904148203047, 4087.9922979762214, 3074.7146723879855, 6147.279125432984, 16569.850604890733, 12702.006411034143, 1
