     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.000,    44.000,     0.128,    19.000,     0.035,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.119
    15.000,    48.000,     0.113,    43.000,     0.056,    34.000,     0.034,    16.000,     0.008,     1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.077
    30.000,    48.000,     0.091,    45.000,     0.084,    54.000,     0.082,    37.000,     0.045,    27.000,     0.012,    12.000,     0.004,     2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.072
    45.000,    48.000,     0.090,    52.000,     0.077,    40.000,     0.092,    48.000,     0.086,    41.000,     0.059,    31.000,     0.031,    23.000,     0.025,    12.000,     0.012,     2.000,     0.000,     0.072
    60.000,    48.000,     0.131,    47.000,     0.083,    49.000,     0.087,    46.000,     0.113,    48.000,     0.103,    43.000,     0.097,    39.000,     0.076,    26.000,     0.066,    24.000,     0.047,     0.096
    75.000,    48.000,     0.083,    44.000,     0.079,    46.000,     0.054,    52.000,     0.098,    44.000,     0.117,    47.000,     0.100,    45.000,     0.099,    41.000,     0.102,    30.000,     0.087,     0.091
    90.000,    45.000,     0.088,    48.000,     0.058,    48.000,     0.084,    46.000,     0.080,    50.000,     0.119,    51.000,     0.117,    44.000,     0.129,    39.000,     0.108,    36.000,     0.131,     0.101
   105.000,    45.000,     0.160,    46.000,     0.074,    47.000,     0.080,    51.000,     0.089,    44.000,     0.106,    46.000,     0.131,    47.000,     0.135,    48.000,     0.176,    49.000,     0.184,     0.126
   120.000,    45.000,     0.100,    51.000,     0.125,    43.000,     0.084,    44.000,     0.067,    52.000,     0.090,    51.000,     0.084,    50.000,     0.124,    44.000,     0.170,    45.000,     0.242,     0.121
   135.000,    48.000,     0.127,    45.000,     0.081,    47.000,     0.121,    48.000,     0.114,    42.000,     0.077,    46.000,     0.098,    50.000,     0.123,    52.000,     0.170,    49.000,     0.199,     0.125
   150.000,    45.000,     0.055,    47.000,     0.056,    48.000,     0.107,    53.000,     0.110,    46.000,     0.100,    44.000,     0.151,    43.000,     0.135,    54.000,     0.156,    52.000,     0.191,     0.119
   165.000,    44.000,     0.080,    44.000,     0.063,    43.000,     0.074,    44.000,     0.087,    47.000,     0.128,    46.000,     0.122,    40.000,     0.094,    38.000,     0.115,    46.000,     0.230,     0.113
   180.000,    44.000,     0.123,    47.000,     0.074,    48.000,     0.090,    49.000,     0.086,    48.000,     0.080,    48.000,     0.118,    52.000,     0.177,    42.000,     0.177,    40.000,     0.178,     0.121
   195.000,    42.000,     0.098,    47.000,     0.091,    51.000,     0.094,    42.000,     0.117,    45.000,     0.099,    45.000,     0.088,    46.000,     0.139,    53.000,     0.195,    49.000,     0.217,     0.127
   210.000,    44.000,     0.107,    44.000,     0.087,    43.000,     0.093,    51.000,     0.100,    43.000,     0.120,    42.000,     0.116,    46.000,     0.131,    53.000,     0.160,    46.000,     0.196,     0.125
   225.000,    48.000,     0.077,    47.000,     0.109,    44.000,     0.095,    41.000,     0.086,    46.000,     0.102,    44.000,     0.110,    51.000,     0.152,    39.000,     0.205,    49.000,     0.207,     0.128
   240.000,    45.000,     0.110,    49.000,     0.067,    49.000,     0.106,    48.000,     0.116,    37.000,     0.097,    47.000,     0.138,    44.000,     0.150,    41.000,     0.160,    43.000,     0.209,     0.127
   255.000,    41.000,     0.100,    46.000,     0.054,    46.000,     0.078,    48.000,     0.126,    52.000,     0.103,    47.000,     0.128,    42.000,     0.145,    37.000,     0.158,    47.000,     0.201,     0.121
   270.000,    47.000,     0.063,    49.000,     0.079,    43.000,     0.073,    40.000,     0.063,    49.000,     0.103,    47.000,     0.128,    52.000,     0.176,    55.000,     0.188,    45.000,     0.165,     0.117
   285.000,    45.000,     0.171,    46.000,     0.077,    44.000,     0.091,    44.000,     0.099,    36.000,     0.096,    37.000,     0.114,    45.000,     0.122,    47.000,     0.160,    55.000,     0.235,     0.133
     0.000,    75.000,     0.103,    34.000,     0.040,     2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.095
    15.000,    79.000,     0.135,    74.000,     0.084,    63.000,     0.051,    28.000,     0.022,     5.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.098
    30.000,    80.000,     0.135,    78.000,     0.094,    72.000,     0.097,    69.000,     0.077,    50.000,     0.044,    24.000,     0.024,     8.000,     0.000,     1.000,     0.000,     0.000,     0.000,     0.096
    45.000,    80.000,     0.107,    82.000,     0.094,    82.000,     0.113,    80.000,     0.112,    69.000,     0.082,    56.000,     0.099,    42.000,     0.056,    24.000,     0.042,    10.000,     0.013,     0.098
    60.000,    79.000,     0.137,    74.000,     0.098,    75.000,     0.112,    78.000,     0.133,    77.000,     0.128,    74.000,     0.105,    56.000,     0.115,    46.000,     0.095,    35.000,     0.077,     0.116
    75.000,    75.000,     0.175,    80.000,     0.104,    82.000,     0.102,    75.000,     0.115,    79.000,     0.160,    80.000,     0.176,    74.000,     0.154,    64.000,     0.137,    51.000,     0.147,     0.141
    90.000,    78.000,     0.181,    77.000,     0.122,    78.000,     0.117,    80.000,     0.141,    81.000,     0.130,    74.000,     0.170,    83.000,     0.189,    74.000,     0.196,    75.000,     0.195,     0.160
   105.000,    75.000,     0.127,    80.000,     0.138,    71.000,     0.135,    75.000,     0.134,    67.000,     0.152,    86.000,     0.170,    78.000,     0.181,    84.000,     0.210,    83.000,     0.244,     0.166
   120.000,    77.000,     0.175,    70.000,     0.166,    79.000,     0.179,    77.000,     0.162,    79.000,     0.153,    66.000,     0.155,    73.000,     0.226,    84.000,     0.233,    77.000,     0.249,     0.190
   135.000,    75.000,     0.208,    78.000,     0.127,    71.000,     0.145,    74.000,     0.161,    88.000,     0.178,    88.000,     0.211,    70.000,     0.188,    62.000,     0.186,    78.000,     0.275,     0.189
   150.000,    78.000,     0.171,    81.000,     0.158,    80.000,     0.165,    71.000,     0.166,    64.000,     0.190,    66.000,     0.221,    80.000,     0.205,    83.000,     0.215,    67.000,     0.230,     0.190
   165.000,    75.000,     0.178,    82.000,     0.110,    76.000,     0.161,    79.000,     0.194,    81.000,     0.187,    83.000,     0.186,    67.000,     0.194,    74.000,     0.230,    77.000,     0.238,     0.186
   180.000,    76.000,     0.168,    75.000,     0.107,    76.000,     0.133,    93.000,     0.158,    74.000,     0.203,    72.000,     0.181,    80.000,     0.209,    76.000,     0.233,    68.000,     0.262,     0.183
   195.000,    72.000,     0.155,    82.000,     0.111,    73.000,     0.142,    70.000,     0.171,    90.000,     0.182,    91.000,     0.202,    75.000,     0.207,    79.000,     0.255,    81.000,     0.310,     0.194
   210.000,    70.000,     0.125,    67.000,     0.105,    82.000,     0.152,    71.000,     0.150,    68.000,     0.143,    82.000,     0.199,    96.000,     0.234,    83.000,     0.264,    72.000,     0.296,     0.189
   225.000,    77.000,     0.175,    80.000,     0.114,    78.000,     0.110,    76.000,     0.161,    77.000,     0.149,    67.000,     0.150,    72.000,     0.193,    93.000,     0.272,    95.000,     0.313,     0.191
   240.000,    75.000,     0.101,    72.000,     0.106,    66.000,     0.115,    69.000,     0.134,    80.000,     0.160,    82.000,     0.166,    73.000,     0.182,    75.000,     0.234,    85.000,     0.315,     0.172
