distance_errors,x_errors,y_errors
3.0198066269804257e-15,0.0,3.0198066269804257e-15
3.0198066269804257e-15,0.0,3.0198066269804257e-15
0.31311383390195335,0.29948946338705085,0.027711145835933593
0.5087966740416725,0.41894091547621193,0.11170389405426295
0.5969338382778351,0.3850449228294435,0.23142516132545535
0.692955830889193,0.46596129864715713,0.3293348375667847
0.7280090107312545,0.38890473321249125,0.42140645623921336
0.7181595363040285,0.4095043361508699,0.41667106764744055
0.8109941802154337,0.5811095249295116,0.40484024494892434
0.9343858637201705,0.5977555763392803,0.5335886438986576
1.1152374299512395,0.7865956742189815,0.5864474449471692
1.3720047340834511,1.0148911310133182,0.6879511626707975
1.5287057456269832,1.147903151831921,0.7882148681628933
1.5705841138333105,1.1917235897684102,0.7676853899325773
1.7538732004782496,1.3105326156635728,0.8848521904966937
1.883114936700864,1.4774275982939595,0.8704574514513211
2.1080884879624726,1.6758131288570837,0.9640233047574182
2.2163570990473005,1.776696531991221,0.9602744786278764
2.297588254608934,1.8633044198748379,0.9253208820949259
2.429851916156205,2.0280199073997167,0.9627027738477254
2.5117032261146024,2.1013150854297935,1.0085123452778384
2.6116907335525203,2.2165194719886516,1.0106659444192974
2.7455419459184243,2.3233265569176105,1.072123138037394
2.8868491362768167,2.475097398920058,1.0871344526906275
3.0762783612402687,2.648397675372942,1.1302058603136111
3.240785662264191,2.823282291323607,1.1223626942523426
3.425896262300975,3.009307046420139,1.1335510036419743
3.5636911797461037,3.1667991899012806,1.1317184173534627
3.7295959325465717,3.34422868717398,1.1371082753055435
3.8527632575907758,3.485869455152701,1.1316023817508951
3.9971890707323228,3.6411924856741273,1.1365778778266626
4.120837439206769,3.765142117199656,1.1505488236533143
4.257325098896159,3.8925673281945583,1.1767851068114
4.434942429016739,4.070745575182825,1.188960885445402
4.5774719469371,4.207435867674105,1.2143104460388028
4.6511618298497535,4.290994200148824,1.2140844587906263
4.705152265260038,4.357027823397752,1.1964522726877171
4.7949964521265995,4.458311522857317,1.1757522342789293
4.875193638454433,4.536935186736618,1.1738162571005664
4.944045404043575,4.605986682951324,1.1663594098016075
5.031624930027698,4.694732462793504,1.157127693881503
5.115867683383128,4.7802142808805455,1.1537895882004183
5.225358674468416,4.887176589833475,1.1656564797929363
5.2993478590369465,4.967908545862064,1.1602354571725888
5.423317628376708,5.096351766342744,1.1615490382853408
5.500848997879677,5.176844479211461,1.1593704440552206
5.597619272747606,5.2757732252072245,1.1583109262892817
5.696105663209488,5.376631452474734,1.1554681059696366
5.775079815647627,5.457933431105079,1.154655998678129
5.869097029740553,5.554239184158374,1.1551958123675719
3.2755551139613366,2.6942527867796917,1.493194386437027
3.385332181510028,2.79868488912671,1.5165540064032295
3.4618193648284588,2.8820187887252144,1.509042393128279
3.545880156387606,2.9706392102525268,1.493812347879666
3.6273371178602027,3.0632326676978385,1.4773430594579602
3.6922165596274823,3.134101988768393,1.4664547153608403
3.7916927097381135,3.238420832898504,1.4494188086516044
3.8960597440898135,3.3553150919956467,1.4306380314430185
3.9906912946597743,3.4571697117718556,1.421195879392981
4.0801552229449,3.5470882986267798,1.4058893686999059
4.184884778860228,3.6617759584746876,1.3900203547716563
4.26035607830855,3.744989183410098,1.3740976576744637
4.358746030482236,3.844694772197724,1.357497400675518
4.450850863688819,3.9443935085656876,1.3410525994385742
4.5282489432547575,4.027604019936279,1.325199215264122
4.626908280482045,4.127310353707275,1.3085791743622186
4.7174393377706325,4.224013028310708,1.292151725735089
4.829903315764424,4.350685689935166,1.2770516691305747
4.901460677504177,4.427911747942784,1.2618886645784957
4.9765809485490236,4.502165650877314,1.2462907656911948
5.040321258722868,4.571929670859693,1.2319711484204707
5.085728800924919,4.623734062351341,1.2195386201580838
5.126297909818502,4.663525373875359,1.2056831430934982
5.175702978885199,4.718338751468426,1.1930908499047046
5.210457667785716,4.758147357746429,1.180435715500495
5.2473460384337764,4.794974729943885,1.1667109319183686
5.3004276678332145,4.852779691715837,1.1541244936757207
5.328033318178879,4.8851029102934,1.141758360501134
5.3774196388714275,4.933917747669335,1.1281289306741997
5.422853544576135,4.984224447780643,1.1151523472473013
5.454387260818741,5.021054881735223,1.1034440758874955
5.5169378925888495,5.083342425965832,1.0912127545553865
5.5553219284232025,5.126175043827647,1.086409640580134
5.59875365414564,5.174969580654303,1.0807546375054775
5.657776930344589,5.238775596982796,1.0750490153290342
5.705333700602165,5.290575778842367,1.0692041296845334
5.737318089229171,5.327395519206561,1.0641538539522384
5.787782378224372,5.3762150697580156,1.0576672902572999
5.840736648941631,5.434008679265156,1.0514670833810265
5.858026152821276,5.456096812084351,1.0446112001042092
5.912409711163217,5.509396354092225,1.0371845336024312
5.962602678287571,5.564210811168139,1.038843952117057
5.9930776820811325,5.5980261529352475,1.040898920432863
6.050974323269422,5.65583908582491,1.041131880167198
6.09938746787902,5.707636886327581,1.0438057653415933
6.136310691719692,5.748961127694267,1.0451982918726164
6.082226794621521,5.694876140813344,1.0415068257365874
6.118407060870947,5.73469660387172,1.0437399638185183
6.155483836391124,5.770021998995691,1.0448149997791203
6.22512545231623,5.84428123636331,1.0468439358397856
6.0463687447034395,5.657085549245923,1.0167017691872282
6.124625309058861,5.743245743009456,1.0135466582051424
6.196487779640586,5.837798185855794,1.0104447129495007
6.212118015906405,5.862584136819231,1.0039213194842322
6.276741537491864,5.926330025671268,0.9991173159690605
6.20097594019901,5.866529852087824,0.9688485050222297
6.128870789412992,5.803929066208426,0.9395618389961244
6.185885252598639,5.85811578826001,0.9371349833917371
