PF params: {'number_of_particles': 2000, 'resample_window': 100, 'multi_step': True, 'agents_to_visualise': 2, 'particle_std': 1.0, 'model_std': 1.0, 'do_save': True, 'plot_save': False, 'do_ani': False}
Model params: {'width': 200, 'height': 100, 'pop_total': 700, 'entrances': 3, 'entrance_space': 2, 'entrance_speed': 0.1, 'exits': 2, 'exit_space': 1, 'speed_min': 0.1, 'speed_desire_mean': 1, 'speed_desire_std': 1, 'separation': 2, 'batch_iterations': 4000, 'do_save': False, 'do_ani': False}
Min_Mean_errors,Max_Mean_errors,Average_mean_errors,Min_variances,Max_variances,Average_variances
4.260227286524203,1019.4489985291551,368.86243206649044,10.022124200362208,939.2690086235546,298.38499053852513
2.416431381114769,875.6914401294018,313.2117058150212,11.231442062700717,710.6739013271161,213.05644540649416
12.452232536601203,906.8060617033162,334.57396062916786,8.920979036332167,760.6767613598507,237.49984409452972
19.9042801349296,987.9989736867726,365.34810160201823,11.210610357329013,884.3660128137817,288.090182655366
13.689107210254685,860.6121272247631,351.9987619931466,11.311971910171572,711.7608519403866,231.3833633182944
16.42578143576414,1077.4301576338448,386.5507728729718,8.201665661093788,953.9137777949987,308.47069160376657
15.236248648046026,910.9640111140176,345.3529340907233,11.61608209238863,742.454480613922,238.054089779152
19.225627062431474,884.8351218687911,327.21645300673475,12.633116886467175,661.4562698348001,201.05459753446036
28.86648250282262,939.8017875164244,359.96235545602997,11.715072835306625,785.472875546763,277.60196516520045
2.7044952773519344,858.2796014913374,322.8691945141385,9.099865397965615,693.8076947715306,226.70000587828528
